"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Janesville-Beloit, WI","52,003","53,827","56,319",233,3.5,4.6,261
"Jefferson City, MO","51,013","53,320","56,862",223,4.5,6.6,38
"Johnson City, TN","48,683","48,918","51,590",302,0.5,5.5,154
"Johnstown, PA","48,712","48,018","50,932",316,-1.4,6.1,82
"Jonesboro, AR","46,337","47,213","49,153",338,1.9,4.1,308
"Joplin, MO","44,135","45,881","47,609",357,4.0,3.8,324
"Kahului-Wailuku-Lahaina, HI","59,914","60,502","62,816",131,1.0,3.8,322
"Kalamazoo-Portage, MI","59,196","60,902","63,668",124,2.9,4.5,271
"Kankakee, IL","51,544","51,228","53,698",274,-0.6,4.8,243
"Kansas City, MO-KS","61,022","66,272","69,865",70,8.6,5.4,159
"Kennewick-Richland, WA","52,209","51,822","54,152",264,-0.7,4.5,275
"Killeen-Temple, TX","48,293","47,597","50,292",326,-1.4,5.7,122
"Kingsport-Bristol, TN-VA","47,491","48,387","50,922",317,1.9,5.2,187
"Kingston, NY","61,076","62,723","66,314",97,2.7,5.7,116
"Knoxville, TN","57,581","58,941","62,167",140,2.4,5.5,152
"Kokomo, IN","47,533","47,992","50,368",325,1.0,5.0,227
"La Crosse-Onalaska, WI-MN","59,539","59,708","62,497",136,0.3,4.7,256
"Lafayette, LA","53,637","54,890","57,906",201,2.3,5.5,149
"Lafayette-West Lafayette, IN","47,479","48,480","51,180",313,2.1,5.6,137
"Lake Charles, LA","51,761","52,747","54,391",259,1.9,3.1,361
"Lake Havasu City-Kingman, AZ","42,978","43,657","46,777",364,1.6,7.1,17
"Lakeland-Winter Haven, FL","43,780","43,103","44,430",375,-1.5,3.1,364
"Lancaster, PA","61,287","64,355","66,876",91,5.0,3.9,318
"Lansing-East Lansing, MI","51,789","51,152","53,806",269,-1.2,5.2,195
"Laredo, TX","41,029","40,674","42,757",380,-0.9,5.1,206
"Las Cruces, NM","45,696","46,226","47,712",355,1.2,3.2,355
"Las Vegas-Henderson-Paradise, NV","58,224","60,083","63,767",122,3.2,6.1,74
"Lawrence, KS","52,025","53,670","56,846",225,3.2,5.9,93
"Lawton, OK","48,328","48,545","51,510",304,0.4,6.1,75
"Lebanon, PA","56,065","56,954","58,851",190,1.6,3.3,350
"Lewiston, ID-WA","52,966","53,944","56,797",227,1.8,5.3,176
"Lewiston-Auburn, ME","48,420","51,087","53,731",271,5.5,5.2,197
"Lexington-Fayette, KY","58,031","59,690","63,021",129,2.9,5.6,131
"Lima, OH","50,199","50,956","54,010",265,1.5,6.0,90
"Lincoln, NE","59,451","62,366","66,373",95,4.9,6.4,50
"Little Rock-North Little Rock-Conway, AR","55,386","56,399","59,463",181,1.8,5.4,157
"Logan, UT-ID","48,864","48,563","50,139",329,-0.6,3.2,353
"Longview, TX","49,561","50,944","53,386",279,2.8,4.8,246
"Longview, WA","54,090","55,235","57,947",200,2.1,4.9,234
"Los Angeles-Long Beach-Anaheim, CA","75,332","76,760","80,898",24,1.9,5.4,162
"Louisville/Jefferson County, KY-IN","60,470","61,964","65,205",108,2.5,5.2,189
"Lubbock, TX","51,366","52,013","54,524",257,1.3,4.8,242
"Lynchburg, VA","47,551","48,695","51,243",312,2.4,5.2,188
"Macon-Bibb County, GA","47,422","46,970","48,529",345,-1.0,3.3,351
"Madera, CA","47,871","45,181","46,709",367,-5.6,3.4,345
"Madison, WI","70,480","71,900","75,862",40,2.0,5.5,147
"Manchester-Nashua, NH","74,634","72,592","76,187",39,-2.7,5.0,226
"Manhattan, KS","51,890","53,251","56,195",235,2.6,5.5,145
"Mankato, MN","54,036","55,745","56,825",226,3.2,1.9,376
"Mansfield, OH","45,386","45,660","48,116",350,0.6,5.4,164
"McAllen-Edinburg-Mission, TX","34,807","32,961","34,373",384,-5.3,4.3,294
"Medford, OR","57,180","58,570","62,541",134,2.4,6.8,27
"Memphis, TN-MS-AR","56,910","57,193","60,083",172,0.5,5.1,215
"Merced, CA","47,854","45,918","46,654",369,-4.0,1.6,378
"Miami-Fort Lauderdale-Pompano Beach, FL","73,220","78,610","84,302",19,7.4,7.2,15
"Michigan City-La Porte, IN","49,173","50,903","53,144",284,3.5,4.4,286
"Midland, MI","60,417","60,467","64,106",116,0.1,6.0,89
"Midland, TX","119,423","144,331","143,469",2,20.9,-0.6,384
"Milwaukee-Waukesha, WI","66,546","68,735","72,316",55,3.3,5.2,191
"Minneapolis-St. Paul-Bloomington, MN-WI","73,203","76,155","79,654",27,4.0,4.6,265
